key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.01,db,0.046824161,0.0008658,149.5741131,149.5741131,149.8741407,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.01,db,0.046770284,0.0008475,151.874206,151.874206,152.1741537,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.01,db,0.046716468,0.000907,154.2073421,154.2073421,154.5072753,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.01,db,0.046662715,0.0008511,156.507249,156.507249,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.01,db,0.046609024,0.0008676,158.7741709,158.7741709,159.0740155,0,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.01,db,0.046662715,0.0009145,161.0740361,161.0740361,161.3739484,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,0.01,db,0.046662715,0.000933,163.3908715,163.3908715,163.690749,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.01,db,0.046662715,0.0009127,165.7578652,165.7578652,166.0575216,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.046635862,0.0008063,168.107301,168.107301,168.4074937,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.046635862,0.0008599,170.4240747,170.4240747,170.7239568,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.046635862,0.000804,172.7407556,172.7407556,173.0406366,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.046609024,0.0009019,175.090702,175.090702,175.3905169,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.046609024,0.0009386,177.4074733,177.4074733,177.7073605,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.046609024,0.0008052,179.7406809,179.7406809,180.0408696,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.046582201,0.0008742,182.0572981,182.0572981,182.357356,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
